sample_id,era5_precip_mm,era5_mat_c,era5_elevation_m,climate_is_fallback
1,438.72666666666663,3.1017521445519254,97.0,0
2,429.31333333333333,3.2185982843584595,112.0,0
3,430.2566666666667,3.204982661069538,141.0,0
4,412.72,3.4196294944332912,130.0,0
5,300.0,5.0,300.0,1
6,405.42333333333335,3.5848147472166456,190.0,0
7,399.13666666666666,3.3857364482569814,252.0,0
8,413.0733333333334,3.035006388027012,330.0,0
9,389.27000000000004,2.653221390764738,412.0,0
10,300.0,5.0,300.0,1
11,363.8433333333333,3.055749224311006,387.0,0
12,363.74,3.5170651578755248,410.0,0
34,346.94,3.413250593173937,734.0,0
35,370.02333333333337,3.614135791202774,661.0,0
36,356.72333333333336,3.486074101113342,563.0,0
37,377.50333333333333,3.4305803978828258,551.0,0
38,300.0,5.0,300.0,1
39,382.0833333333333,3.8259536411753974,389.0,0
40,363.87333333333333,3.9811188173024274,362.0,0
